session_id,tag_local_id,mode,device_A_port,device_B_port,distance_cm,orientation_deg,replay_type,replay_source,reads_target
S4_TAG01_run1,TAG01,REPLAY,COM9,COM4,1,0,physical_clone,TAG01,1000
S4_TAG01_run2,TAG01,REPLAY,COM9,COM4,1,45,physical_clone,TAG01,1000
S4_TAG01_run3,TAG01,REPLAY,COM9,COM4,1,90,physical_clone,TAG01,1000
S4_TAG02_run1,TAG02,REPLAY,COM9,COM4,1,0,mobile_emulation,TAG02,1000
S4_TAG02_run2,TAG02,REPLAY,COM9,COM4,1,45,mobile_emulation,TAG02,1000
S4_TAG02_run3,TAG02,REPLAY,COM9,COM4,1,90,mobile_emulation,TAG02,1000
S4_TAG03_run1,TAG03,REPLAY,COM9,COM4,1,0,software_injection,stored_capture,1500
S4_TAG03_run2,TAG03,REPLAY,COM9,COM4,1,45,software_injection,stored_capture,1500
S4_TAG03_run3,TAG03,REPLAY,COM9,COM4,1,90,software_injection,stored_capture,1500
S4_TAG04_run1,TAG04,REPLAY,COM9,COM4,2,0,software_injection,stored_capture,1200
S4_TAG04_run2,TAG04,REPLAY,COM9,COM4,2,45,software_injection,stored_capture,1200
S4_TAG04_run3,TAG04,REPLAY,COM9,COM4,2,90,software_injection,stored_capture,1200
S4_TAG05_run1,TAG05,REPLAY,COM9,COM4,3,0,physical_clone,TAG05,1000
S4_TAG05_run2,TAG05,REPLAY,COM9,COM4,3,45,physical_clone,TAG05,1000
S4_TAG05_run3,TAG05,REPLAY,COM9,COM4,3,90,physical_clone,TAG05,1000
S4_TAG06_run1,TAG06,REPLAY,COM9,COM4,1,0,mobile_emulation,TAG06,1000
S4_TAG06_run2,TAG06,REPLAY,COM9,COM4,1,45,mobile_emulation,TAG06,1000
S4_TAG06_run3,TAG06,REPLAY,COM9,COM4,1,90,mobile_emulation,TAG06,1000
S4_TAG07_run1,TAG07,REPLAY,COM9,COM4,2,0,software_injection,stored_capture,1500
S4_TAG07_run2,TAG07,REPLAY,COM9,COM4,2,45,software_injection,stored_capture,1500
S4_TAG07_run3,TAG07,REPLAY,COM9,COM4,2,90,software_injection,stored_capture,1500
S4_TAG08_run1,TAG08,REPLAY,COM9,COM4,2,0,physical_clone,TAG08,1000
S4_TAG08_run2,TAG08,REPLAY,COM9,COM4,2,45,physical_clone,TAG08,1000
S4_TAG08_run3,TAG08,REPLAY,COM9,COM4,2,90,physical_clone,TAG08,1000
S4_TAG09_run1,TAG09,REPLAY,COM9,COM4,3,0,mobile_emulation,TAG09,1000
S4_TAG09_run2,TAG09,REPLAY,COM9,COM4,3,45,mobile_emulation,TAG09,1000
S4_TAG09_run3,TAG09,REPLAY,COM9,COM4,3,90,mobile_emulation,TAG09,1000
S4_TAG10_run1,TAG10,REPLAY,COM9,COM4,1,0,software_injection,stored_capture,1200
S4_TAG10_run2,TAG10,REPLAY,COM9,COM4,1,45,software_injection,stored_capture,1200
S4_TAG10_run3,TAG10,REPLAY,COM9,COM4,1,90,software_injection,stored_capture,1200
S4_TAG11_run1,TAG11,REPLAY,COM9,COM4,2,0,physical_clone,TAG11,1000
S4_TAG11_run2,TAG11,REPLAY,COM9,COM4,2,45,physical_clone,TAG11,1000
S4_TAG11_run3,TAG11,REPLAY,COM9,COM4,2,90,physical_clone,TAG11,1000
S4_TAG12_run1,TAG12,REPLAY,COM9,COM4,3,0,software_injection,stored_capture,1500
S4_TAG12_run2,TAG12,REPLAY,COM9,COM4,3,45,software_injection,stored_capture,1500
S4_TAG12_run3,TAG12,REPLAY,COM9,COM4,3,90,software_injection,stored_capture,1500
