reader,distance_cm,orientation_deg,count,mean_rssi,std_rssi,success_rate
ESP32_A,1,0,1765,0.0,0.0,100.0
ESP32_A,1,45,1753,0.0,0.0,100.0
ESP32_A,1,90,1762,0.0,0.0,100.0
ESP32_A,3,0,1756,0.0,0.0,100.0
ESP32_A,3,45,1764,0.0,0.0,100.0
ESP32_A,3,90,1767,0.0,0.0,100.0
ESP32_A,4,0,1767,0.0,0.0,100.0
ESP32_A,4,45,1765,0.0,0.0,100.0
ESP32_A,4,90,1767,0.0,0.0,100.0
ESP32_B,1,0,1772,0.0,0.0,100.0
ESP32_B,1,45,1760,0.0,0.0,100.0
ESP32_B,1,90,1764,0.0,0.0,100.0
ESP32_B,3,0,1768,0.0,0.0,100.0
ESP32_B,3,45,1761,0.0,0.0,100.0
ESP32_B,3,90,1774,0.0,0.0,100.0
ESP32_B,4,0,1771,0.0,0.0,100.0
ESP32_B,4,45,1776,0.0,0.0,100.0
ESP32_B,4,90,1764,0.0,0.0,100.0
